,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,team_year,player_year,opp_year,game_id_count,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,completions_last,attempts_last,passing_yards_last,passing_tds_last,interceptions_last,carries_last,rushing_yards_last,rushing_tds_last,receptions_last,targets_last,receiving_yards_last,receiving_tds_last,receiving_air_yards_last,sack_fumbles_lost_last,rushing_fumbles_lost_last,receiving_fumbles_lost_last,passing_epa_last,rushing_epa_last,receiving_epa_last,fantasy_points_ppr_last,opp,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,player_is_home,team_full_name,Unnamed: 0_x,game_id_x,game_type_x,gameday_x,weekday_y,gametime_x,away_team_x,away_score_x,home_team_x,home_score_x,location_x,result_x,total_x,overtime_x,old_game_id_x,gsis_x,nfl_detail_id_x,pfr_x,pff_x,espn_x,ftn_x,away_rest_x,home_rest_x,away_moneyline_x,home_moneyline_x,spread_line_x,away_spread_odds_x,home_spread_odds_x,total_line_x,under_odds_x,over_odds_x,div_game_x,roof_x,surface_x,temp_x,wind_x,away_qb_id_x,home_qb_id_x,away_qb_name_x,home_qb_name_x,away_coach_x,home_coach_x,referee_x,stadium_id_x,stadium_x,Unnamed: 0_y,game_id_y,game_type_y,gameday_y,gametime_y,away_team_y,away_score_y,home_team_y,home_score_y,location_y,result_y,total_y,overtime_y,old_game_id_y,gsis_y,nfl_detail_id_y,pfr_y,pff_y,espn_y,ftn_y,away_rest_y,home_rest_y,away_moneyline_y,home_moneyline_y,spread_line_y,away_spread_odds_y,home_spread_odds_y,total_line_y,under_odds_y,over_odds_y,div_game_y,roof_y,surface_y,temp_y,wind_y,away_qb_id_y,home_qb_id_y,away_qb_name_y,home_qb_name_y,away_coach_y,home_coach_y,referee_y,stadium_id_y,stadium_y,Unnamed: 0,game_id,game_type,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e",NYJ,2023,2,REG,0,1,0.0,0,0.0,1.0,10.0,0,0,17.0,0.0,0.0,-2.0319597721099854,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.0,0.0,BUF,Monday,NYJ2023,A.Rodgers2023,BUF2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,1.5,2.0,23.0,1.0,23.5,0.25,0.25,0.25,0.11,-0.31,2.56,9.8,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,0.71,1.41,14.14,1.41,12.02,0.5,0.5,0.5,0.37,0.06,0.25,7.78,25,39,304.0,1,1.0,4,13.0,1,1,1,3.0,1,-8.0,1,1.0,1.0,14.663445472717283,0.8237342238426208,-0.3479053378105163,17.459999084472656,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NEW YORK JETS,6448.0,2023_02_NYJ_DAL,REG,2023-09-17,,16:25,NYJ,,DAL,,Home,,,,2023091710.0,,,202309170dal,,401547415.0,,6.0,7.0,340.0,-440.0,9.5,-110.0,-110.0,38.5,-110.0,-110.0,0.0,,matrixturf,,,00-0037013,00-0033077,Zach Wilson,Dak Prescott,Robert Saleh,Mike McCarthy,,DAL00,AT&T Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6448.0,2023_02_NYJ_DAL,REG,2023-09-17,Sunday,16:25,NYJ,,DAL,,Home,,,,2023091710.0,,,202309170dal,,401547415.0,,6.0,7.0,340.0,-440.0,9.5,-110.0,-110.0,38.5,-110.0,-110.0,0.0,,matrixturf,,,00-0037013,00-0033077,Zach Wilson,Dak Prescott,Robert Saleh,Mike McCarthy,,DAL00,AT&T Stadium,14.44946391946514,15.81551747259467,15.0784339132785,15.1,8.8,21.4
1,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,2,REG,24,38,334.0,0,0.0,0.0,-0.0,0,0,409.0,106.0,17.0,20.679981231689453,0,0.8166258931159973,0.2171900570392608,3,11.0,0,0.0,0.0,1.0,0.8680859208106995,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.460000038146973,14.460000038146973,SEA,Sunday,LA2023,M.Stafford2023,SEA2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,1.0,1.67,15.33,0.67,27.67,0.25,0.25,0.25,0.11,-0.31,1.47,6.53,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,1.0,1.15,16.62,1.15,11.15,0.5,0.5,0.5,0.37,0.06,1.9,7.89,13,23,153.0,1,2.0,1,11.0,1,1,1,5.0,1,2.0,1,1.0,1.0,-2.784363269805908,-1.5448427200317385,-0.3022262454032898,1.5,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOS ANGELES RAMS,6447.0,2023_02_SF_LA,REG,2023-09-17,Sunday,16:05,SF,,LA,,Home,,,,2023091709.0,,,202309170ram,,401547422.0,,7.0,7.0,-345.0,275.0,-7.5,-112.0,-108.0,45.0,-110.0,-110.0,1.0,dome,matrixturf,,,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,,LAX01,SoFi Stadium,6447.0,2023_02_SF_LA,REG,2023-09-17,16:05,SF,,LA,,Home,,,,2023091709.0,,,202309170ram,,401547422.0,,7.0,7.0,-345.0,275.0,-7.5,-112.0,-108.0,45.0,-110.0,-110.0,1.0,dome,matrixturf,,,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,,LAX01,SoFi Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.531920099155714,13.746831249875044,13.481556587849303,13.3,7.0,19.6
2,00-0028002,R.Cobb,Randall Cobb,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",NYJ,2023,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,10.0,0.0,0.0,-3.924131155014038,0,0.0,0.0555555559694767,0.1333333402872085,0.1766666620969772,0.0,0.0,0.0,BUF,Monday,NYJ2023,R.Cobb2023,BUF2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,1.25,2.0,18.25,0.75,30.5,0.25,0.25,0.25,0.11,-0.31,1.75,7.58,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,0.96,1.15,14.77,0.96,10.72,0.5,0.5,0.5,0.37,0.06,1.66,6.77,28,1,266.0,2,1.0,1,-3.0,1,5,7,69.0,1,143.0,1,1.0,1.0,-4.046502590179443,-1.044851303100586,5.660453796386719,17.899999618530273,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NEW YORK JETS,6448.0,2023_02_NYJ_DAL,REG,2023-09-17,,16:25,NYJ,,DAL,,Home,,,,2023091710.0,,,202309170dal,,401547415.0,,6.0,7.0,340.0,-440.0,9.5,-110.0,-110.0,38.5,-110.0,-110.0,0.0,,matrixturf,,,00-0037013,00-0033077,Zach Wilson,Dak Prescott,Robert Saleh,Mike McCarthy,,DAL00,AT&T Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6448.0,2023_02_NYJ_DAL,REG,2023-09-17,Sunday,16:25,NYJ,,DAL,,Home,,,,2023091710.0,,,202309170dal,,401547415.0,,6.0,7.0,340.0,-440.0,9.5,-110.0,-110.0,38.5,-110.0,-110.0,0.0,,matrixturf,,,00-0037013,00-0033077,Zach Wilson,Dak Prescott,Robert Saleh,Mike McCarthy,,DAL00,AT&T Stadium,8.602629190752566,9.620325029687763,8.064019976606861,8.8,2.5,15.1
3,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qx6t1lqmc9ws9ledobzn",NYG,2023,2,REG,2,2,6.0,0,0.0,0.0,-0.0,0,0,-10.0,16.0,0.0,-0.5446568727493286,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.2399999946355819,0.2399999946355819,DAL,Sunday,NYG2023,T.Taylor2023,DAL2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,1.0,1.75,16.0,0.25,23.5,0.25,0.25,0.25,0.11,-0.31,0.93,4.1,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,0.82,0.96,16.43,0.5,16.82,0.5,0.5,0.5,0.37,0.06,1.82,4.75,7,16,83.0,1,1.0,1,13.0,1,1,1,12.0,1,22.0,1,1.0,1.0,-17.2370548248291,0.8201378583908081,-0.8035175800323486,2.200000047683716,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NEY YORK GIANTS,6446.0,2023_02_NYG_ARI,REG,2023-09-17,,16:05,NYG,,ARI,,Home,,,,2023091708.0,,,202309170crd,,401547421.0,,7.0,7.0,-245.0,200.0,-5.5,-110.0,-110.0,40.0,-110.0,-110.0,0.0,,grass,,,00-0035710,00-0033949,Daniel Jones,Joshua Dobbs,Brian Daboll,Jonathan Gannon,,PHO00,State Farm Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6446.0,2023_02_NYG_ARI,REG,2023-09-17,Sunday,16:05,NYG,,ARI,,Home,,,,2023091708.0,,,202309170crd,,401547421.0,,7.0,7.0,-245.0,200.0,-5.5,-110.0,-110.0,40.0,-110.0,-110.0,0.0,,grass,,,00-0035710,00-0033949,Daniel Jones,Joshua Dobbs,Brian Daboll,Jonathan Gannon,,PHO00,State Farm Stadium,9.525499088293698,10.85199944002469,8.187687879172351,9.5,3.2,15.8
4,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,2,REG,27,34,177.0,2,0.0,2.0,11.0,0,0,137.0,78.0,11.0,2.3555383682250977,0,1.2919708490371704,0.2005134373903274,1,1.0,0,0.0,0.0,0.0,-0.603321373462677,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,15.18000030517578,15.18000030517578,LV,Sunday,DEN2023,R.Wilson2023,LV2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,1.0,2.25,8.25,0.25,31.5,0.25,0.25,0.25,0.11,-0.31,-0.26,3.32,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,0.82,0.96,12.61,0.5,18.91,0.5,0.5,0.5,0.37,0.06,2.09,4.96,1,1,20.0,1,1.0,7,46.0,1,2,2,20.0,1,-5.0,1,1.0,1.0,2.913770914077759,3.1322193145751958,3.639711380004883,20.600000381469727,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DENVER BRONCOS,6449.0,2023_02_WAS_DEN,REG,2023-09-17,Sunday,16:25,WAS,,DEN,,Home,,,,2023091711.0,,,202309170den,,401547416.0,,7.0,7.0,145.0,-175.0,3.5,-115.0,-105.0,39.0,-110.0,-110.0,0.0,outdoors,grass,,,00-0037077,00-0029263,Sam Howell,Russell Wilson,Ron Rivera,Sean Payton,,DEN00,Empower Field at Mile High,6449.0,2023_02_WAS_DEN,REG,2023-09-17,16:25,WAS,,DEN,,Home,,,,2023091711.0,,,202309170den,,401547416.0,,7.0,7.0,145.0,-175.0,3.5,-115.0,-105.0,39.0,-110.0,-110.0,0.0,outdoors,grass,,,00-0037077,00-0029263,Sam Howell,Russell Wilson,Ron Rivera,Sean Payton,,DEN00,Empower Field at Mile High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.817559247687598,16.585848167812074,14.87913577291642,15.4,9.1,21.7
5,00-0029293,M.Jones,Marvin Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",DET,2023,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,6,8.0,0,1.0,1.0,50.0,4.0,0.0,-6.1952314376831055,0,0.1599999964237213,0.1875,0.2304147481918335,0.4425403177738189,0.0,-1.2000000476837158,0.800000011920929,KC,Thursday,DET2023,M.Jones2023,KC2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,3.0,4.25,32.75,0.25,40.5,0.25,0.25,0.25,0.11,-0.31,1.79,7.77,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,3.37,3.2,44.95,0.5,28.1,0.5,0.5,0.5,0.37,0.06,4.31,8.02,18,1,325.0,1,1.0,6,18.0,2,2,6,25.0,1,61.0,1,1.0,1.0,-0.5070286989212036,0.7019421458244324,-6.987717151641846,4.5,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,DETROIT LIONS,6441.0,2023_02_SEA_DET,REG,2023-09-17,Sunday,13:00,SEA,,DET,,Home,,,,2023091703.0,,,202309170det,,401547418.0,,7.0,10.0,195.0,-238.0,5.5,-112.0,-108.0,47.5,-112.0,-108.0,0.0,dome,fieldturf,,,00-0030565,00-0033106,Geno Smith,Jared Goff,Pete Carroll,Dan Campbell,,DET00,Ford Field,6441.0,2023_02_SEA_DET,REG,2023-09-17,13:00,SEA,,DET,,Home,,,,2023091703.0,,,202309170det,,401547418.0,,7.0,10.0,195.0,-238.0,5.5,-112.0,-108.0,47.5,-112.0,-108.0,0.0,dome,fieldturf,,,00-0030565,00-0033106,Geno Smith,Jared Goff,Pete Carroll,Dan Campbell,,DET00,Ford Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.527813186424336,10.455418167711194,8.142006193934172,9.4,3.1,15.7
6,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2023,2,REG,33,44,344.0,2,1.0,2.0,16.0,1,1,298.0,145.0,15.0,3.0405027866363525,0,1.154362440109253,0.1000537276268005,3,7.0,0,1.0,1.0,1.0,-5.171740531921387,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.459999084472656,16.459999084472656,TB,Sunday,MIN2023,K.Cousins2023,TB2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,3.0,4.5,33.0,0.5,37.75,0.25,0.25,0.25,0.11,-0.31,1.19,6.3,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,3.37,3.11,44.91,0.71,28.83,0.5,0.5,0.5,0.37,0.06,4.33,7.84,26,33,352.0,3,1.0,1,1.0,1,2,1,17.0,1,2.0,1,1.0,1.0,23.881053924560547,1.9733595848083496,-0.7513106465339661,3.700000047683716,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,MINNESOTA VIKINGS,6437.0,2023_02_MIN_PHI,REG,2023-09-14,,20:15,MIN,,PHI,,Home,,,,2023091400.0,,,202309140phi,,401547410.0,,4.0,4.0,210.0,-258.0,6.5,-115.0,-105.0,49.0,-108.0,-112.0,0.0,outdoors,grass,,,00-0029604,00-0036389,Kirk Cousins,Jalen Hurts,Kevin O'Connell,Nick Sirianni,,PHI00,Lincoln Financial Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6437.0,2023_02_MIN_PHI,REG,2023-09-14,Thursday,20:15,MIN,,PHI,,Home,,,,2023091400.0,,,202309140phi,,401547410.0,,4.0,4.0,210.0,-258.0,6.5,-115.0,-105.0,49.0,-108.0,-112.0,0.0,outdoors,grass,,,00-0029604,00-0036389,Kirk Cousins,Jalen Hurts,Kevin O'Connell,Nick Sirianni,,PHI00,Lincoln Financial Field,13.356578606446174,14.494045257141185,14.496089076549435,14.1,7.8,20.4
7,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,2,REG,16,34,198.0,0,3.0,3.0,17.0,0,0,310.0,124.0,8.0,-9.40684413909912,0,0.6387096643447876,-0.063775286078453,3,5.0,0,0.0,0.0,0.0,-1.7240090370178225,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.4200000762939453,2.4200000762939453,NO,Sunday,TEN2023,R.Tannehill2023,NO2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,3.0,4.25,41.0,0.5,39.25,0.25,0.25,0.25,0.11,-0.31,1.99,7.1,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,3.37,3.4,40.68,0.71,26.55,0.5,0.5,0.5,0.37,0.06,4.19,7.32,14,25,168.0,1,2.0,1,2.0,1,2,3,30.0,1,31.0,1,1.0,1.0,0.3763960897922516,2.647357225418091,1.9634068012237549,5.0,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,TENNESSEE TITANS,6445.0,2023_02_LAC_TEN,REG,2023-09-17,Sunday,13:00,LAC,,TEN,,Home,,,,2023091707.0,,,202309170oti,,401547414.0,,7.0,7.0,-148.0,124.0,-3.0,-105.0,-115.0,45.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0036355,00-0029701,Justin Herbert,Ryan Tannehill,Brandon Staley,Mike Vrabel,,NAS00,Nissan Stadium,6445.0,2023_02_LAC_TEN,REG,2023-09-17,13:00,LAC,,TEN,,Home,,,,2023091707.0,,,202309170oti,,401547414.0,,7.0,7.0,-148.0,124.0,-3.0,-105.0,-115.0,45.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0036355,00-0029701,Justin Herbert,Ryan Tannehill,Brandon Staley,Mike Vrabel,,NAS00,Nissan Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.201925780418792,13.3654156392343,13.775220521794687,13.1,6.8,19.4
8,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,12.0,0,0.0,0.0,9.0,3.0,1.0,0.7496923804283142,0,1.3333333730697632,0.0645161271095275,0.039473682641983,0.1244057714939117,0.0,1.2000000476837158,3.200000047683716,ATL,Sunday,CAR2023,A.Thielen2023,ATL2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,3.5,4.75,51.25,0.5,48.5,0.25,0.25,0.25,0.11,-0.31,1.47,8.62,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,3.11,3.3,31.76,0.71,35.19,0.5,0.5,0.5,0.37,0.06,4.97,6.24,2,1,18.0,4,2.0,3,19.0,1,1,1,1.0,1,7.0,1,1.0,1.0,-0.3691921532154083,-0.1038000732660293,-1.5115796327590942,1.899999976158142,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,CAROLINA PANTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.110243268774736,11.342178208078336,8.477754139288056,9.6,3.3,15.9
9,00-0030061,Z.Ertz,Zach Ertz,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t7my0kesdhb2iefvempm",ARI,2023,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,10,21.0,0,0.0,0.0,56.0,6.0,1.0,-3.360602617263794,0,0.375,0.3333333432674408,0.301075279712677,0.7107526659965515,0.0,2.0999999046325684,8.100000381469727,WAS,Sunday,ARI2023,Z.Ertz2023,WAS2023,1970-01-01,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,2.25,3.5,31.5,0.5,31.75,0.25,0.25,0.25,0.11,-0.31,-0.58,5.4,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.5,0.96,1.73,10.34,0.71,36.21,0.5,0.5,0.5,0.37,0.06,2.95,1.27,2,1,18.0,4,2.0,1,4.0,1,8,11,125.0,1,158.0,1,1.0,1.0,-0.3691921532154083,-0.1335235238075256,9.814189910888672,26.5,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ARIZONA CARDINALS,6446.0,2023_02_NYG_ARI,REG,2023-09-17,Sunday,16:05,NYG,,ARI,,Home,,,,2023091708.0,,,202309170crd,,401547421.0,,7.0,7.0,-245.0,200.0,-5.5,-110.0,-110.0,40.0,-110.0,-110.0,0.0,,grass,,,00-0035710,00-0033949,Daniel Jones,Joshua Dobbs,Brian Daboll,Jonathan Gannon,,PHO00,State Farm Stadium,6446.0,2023_02_NYG_ARI,REG,2023-09-17,16:05,NYG,,ARI,,Home,,,,2023091708.0,,,202309170crd,,401547421.0,,7.0,7.0,-245.0,200.0,-5.5,-110.0,-110.0,40.0,-110.0,-110.0,0.0,,grass,,,00-0035710,00-0033949,Daniel Jones,Joshua Dobbs,Brian Daboll,Jonathan Gannon,,PHO00,State Farm Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.786929114507652,12.203043299483216,12.15889652197561,12.0,5.7,18.3
