,Unnamed: 0.1,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,completions_last,attempts_last,passing_yards_last,passing_tds_last,interceptions_last,carries_last,rushing_yards_last,rushing_tds_last,receptions_last,targets_last,receiving_yards_last,receiving_tds_last,receiving_air_yards_last,sack_fumbles_lost_last,rushing_fumbles_lost_last,receiving_fumbles_lost_last,passing_epa_last,rushing_epa_last,receiving_epa_last,fantasy_points_ppr_last,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,Away Team,away_score,Home Team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,0,00-0028118,T.Taylor,Tyrod Taylor,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qx6t1lqmc9ws9ledobzn",NYG,2023,4,REG,0,1,0.0,0,0.0,0.0,-0.0,0,0,11.0,0.0,0.0,-0.651543,0,0.0,,1,2.0,0,0.0,0.0,0.0,-0.18906277,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.2,0.2,SF,Thursday,1,NYG2023,T.Taylor2023,SF2023,19.0,33.0,166.0,0.25,1.0,3.0,7.0,0.5,1.25,2.0,29.25,0.25,24.5,1.0,0.25,1.0,-16.29,-0.87,1.47,5.67,8.49,14.14,54.45,0.5,0.71,4.24,4.95,0.71,1.26,1.15,40.38,0.5,22.78,0.71,0.5,0.71,9.82,2.2,4.95,8.23,2.0,2.0,6.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,48.0,1.0,-1.0,1.0,1.0,1.0,-0.5446569,-1.0130621,-0.87324375,0.24,SEA,1.0,1.5,3.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.6,-0.19,,0.22,10.75,17.0,107.75,0.5,0.75,5.75,26.0,0.25,0.25,0.25,4.0,0.0,3.25,0.25,0.25,0.0,-3.93,1.5,0.98,8.91,0,NEY YORK GIANTS,6484,2023_04_SEA_NYG,REG,2023-10-02 00:00:00+00:00,Monday,20:15,SEA,,NYG,,Home,,,,2023100200,,,202310020nyg,,401547456,,8,11,,,,,,,,,0,outdoors,fieldturf,,,00-0030565,00-0035710,Geno Smith,Daniel Jones,Pete Carroll,Brian Daboll,,NYC01,MetLife Stadium,,0.2992536977350687,0.925117285229379,0.5528537124679841,0.9509616667770412,0.7,0.0,4.0
1,1,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqb3lq4bip6oa5kiz1ze",SF,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,1.0,0.23948689,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.3,0.3,NYG,Thursday,1,SF2023,K.Juszczyk2023,NYG2023,19.0,33.0,166.0,0.25,1.0,2.25,7.75,0.33,0.5,0.75,-0.5,0.25,-1.75,1.0,0.25,1.0,-16.29,-0.65,-4.37,0.77,8.49,14.14,54.45,0.5,0.71,1.89,7.63,0.58,1.0,1.5,1.0,0.5,3.5,0.71,0.5,0.71,9.82,0.31,3.33,0.76,2.0,2.0,6.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,48.0,1.0,-1.0,1.0,1.0,1.0,-0.5446569,-1.0130621,-0.87324375,0.24,ARI,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.5,0.5,0.5,3.0,0.5,1.5,0.0,0.5,0.5,,0.52,0.25,0.55,0.0,0.0,0.0,0.0,0.0,0.75,3.5,0.25,0.5,0.5,8.0,0.25,2.0,0.0,0.25,0.25,,0.55,0.8,1.65,0,SAN FRANCISCO 49ERS,6482,2023_04_ARI_SF,REG,2023-10-01 00:00:00+00:00,Sunday,16:25,ARI,,SF,,Home,,,,2023100112,,,202310010sfo,,401547454,,7,10,,,,,,,,,1,outdoors,grass,,,00-0033949,00-0037834,Joshua Dobbs,Brock Purdy,Jonathan Gannon,Kyle Shanahan,,SFO01,Levi's Stadium,,0.9012136598029472,-1.225005424038326,0.5528537124679841,0.819054543795725,0.3,0.0,3.6
2,2,00-0031610,D.Waller,Darren Waller,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqzht46a66zbi9xyylf4",NYG,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,7,20.0,0,0.0,0.0,68.0,6.0,1.0,-5.0289145,0,0.29411766,0.21875,0.33497536,0.56260777,0.0,2.0,5.0,SF,Thursday,1,NYG2023,D.Waller2023,SF2023,1.0,1.0,13.0,0.5,0.5,0.5,0.75,0.33,0.25,0.75,0.25,0.5,0.75,0.25,0.25,1.0,3.36,-1.37,-0.58,0.33,0.71,0.5,9.19,1.0,0.71,1.0,1.5,0.58,0.5,0.5,0.5,0.71,3.77,0.5,0.5,0.71,5.04,1.74,0.15,0.47,2.0,2.0,6.0,1.0,1.0,3.0,11.0,1.0,6.0,8.0,76.0,1.0,76.0,1.0,1.0,1.0,-0.5446569,-1.0130621,5.652427,13.6,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.5,48.0,0.0,72.0,0.0,0.0,0.0,,,0.31,9.3,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,3.0,4.5,28.5,0.25,36.75,0.0,0.0,0.25,-0.84,1.29,0.53,5.85,0,NEY YORK GIANTS,6484,2023_04_SEA_NYG,REG,2023-10-02 00:00:00+00:00,Monday,20:15,SEA,,NYG,,Home,,,,2023100200,,,202310020nyg,,401547456,,8,11,,,,,,,,,0,outdoors,fieldturf,,,00-0030565,00-0035710,Geno Smith,Daniel Jones,Pete Carroll,Brian Daboll,,NYC01,MetLife Stadium,,4.647373387521952,9.307864605186284,9.39933459396597,5.779859857573995,7.3,4.0,10.6
3,3,00-0033280,C.McCaffrey,Christian McCaffrey,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/navqer4chxxut5povzzw",SF,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,85.0,1,0.0,0.0,4.0,1.9105227,0,5,5,34.0,0,0.0,0.0,-11.0,45.0,3.0,4.0035963,0,-3.090909,0.14705883,-0.06918239,0.17216057,0.0,17.9,22.9,NYG,Thursday,1,SF2023,C.McCaffrey2023,NYG2023,2.0,0.25,33.0,0.5,0.5,3.33,15.33,0.25,0.5,1.0,26.5,0.5,37.0,0.25,0.25,0.25,-0.49,-0.81,-0.8,1.53,2.83,0.5,46.67,1.0,0.71,2.08,9.07,0.5,0.71,1.15,37.48,0.71,4.95,0.5,0.5,0.5,0.37,1.19,4.29,0.91,2.0,2.0,6.0,1.0,1.0,20.0,116.0,1.0,3.0,3.0,19.0,1.0,1.0,1.0,1.0,1.0,-0.5446569,-0.37312183,0.6724837,22.5,ARI,0.5,0.5,17.0,0.5,0.0,19.0,100.5,1.0,4.0,4.0,26.5,0.5,-5.0,0.0,0.0,0.0,-0.54,0.77,2.34,22.7,0.25,0.25,8.5,0.25,0.0,16.25,90.75,0.75,2.75,3.5,17.5,0.25,-1.5,0.0,0.25,0.25,-0.54,0.66,0.76,18.07,0,SAN FRANCISCO 49ERS,6482,2023_04_ARI_SF,REG,2023-10-01 00:00:00+00:00,Sunday,16:25,ARI,,SF,,Home,,,,2023100112,,,202310010sfo,,401547454,,7,10,,,,,,,,,1,outdoors,grass,,,00-0033949,00-0037834,Joshua Dobbs,Brock Purdy,Jonathan Gannon,Kyle Shanahan,,SFO01,Levi's Stadium,,23.458971995650344,25.687881209389097,22.295415372440495,22.475836209877105,23.5,20.2,26.8
4,4,00-0033288,G.Kittle,George Kittle,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bwx6bvkrxog0yf4h6fw1",SF,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,9,90.0,0,0.0,0.0,68.0,48.0,2.0,7.045805,0,1.3235294,0.2647059,0.42767295,0.6964299,0.0,9.0,16.0,NYG,Thursday,1,SF2023,G.Kittle2023,NYG2023,2.0,0.25,33.0,0.5,0.5,6.25,40.25,0.25,0.5,1.0,26.5,0.5,37.0,0.25,0.25,0.25,-0.49,1.11,-0.8,5.53,2.83,0.5,46.67,1.0,0.71,4.03,23.84,0.5,0.71,1.15,37.48,0.71,4.95,0.5,0.5,0.5,0.37,2.34,4.29,1.94,2.0,2.0,6.0,1.0,1.0,20.0,116.0,1.0,3.0,3.0,30.0,1.0,17.0,1.0,1.0,1.0,-0.5446569,-0.37312183,1.7199669,6.0,ARI,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,5.0,6.0,60.0,1.0,42.5,0.0,0.0,0.5,,-0.05,4.38,11.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,4.0,5.5,42.75,0.5,33.5,0.0,0.0,0.25,,-0.05,2.94,8.38,0,SAN FRANCISCO 49ERS,6482,2023_04_ARI_SF,REG,2023-10-01 00:00:00+00:00,Sunday,16:25,ARI,,SF,,Home,,,,2023100112,,,202310010sfo,,401547454,,7,10,,,,,,,,,1,outdoors,grass,,,00-0033949,00-0037834,Joshua Dobbs,Brock Purdy,Jonathan Gannon,Kyle Shanahan,,SFO01,Levi's Stadium,,15.775110249822266,11.443304622285847,11.394947609545111,15.910493984187156,13.6,10.3,16.9
5,5,00-0033308,M.Breida,Matt Breida,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rc4m1xw0xmtsrxswd0bg",NYG,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,4,17.0,1,0.0,0.0,1.0,0.7870919,0,3,3,1.0,0,0.0,0.0,-5.0,6.0,0.0,-1.7557409,0,-0.2,0.09375,-0.024630541,0.12338362,0.0,7.8,10.8,SF,Thursday,1,NYG2023,M.Breida2023,SF2023,2.0,0.25,33.0,0.5,0.5,0.25,11.0,0.25,1.25,1.5,25.75,0.25,29.5,0.25,0.25,0.25,-0.49,4.37,2.2,7.93,2.83,0.5,46.67,1.0,0.71,0.5,22.0,0.5,1.26,1.0,24.12,0.5,14.06,0.5,0.5,0.5,0.37,1.01,2.48,4.45,2.0,2.0,6.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,30.0,1.0,17.0,1.0,1.0,1.0,-0.5446569,0.5369342,1.7199669,0.5,SEA,0.0,0.0,0.0,0.0,0.0,2.5,11.0,0.5,1.5,1.5,0.5,0.0,-2.5,0.0,0.0,0.0,,0.66,-1.76,5.65,0.0,0.25,0.0,0.0,0.25,5.75,22.5,0.5,2.75,3.0,9.0,0.25,-2.25,0.0,0.25,0.25,-4.05,-0.24,-1.96,10.4,0,NEY YORK GIANTS,6484,2023_04_SEA_NYG,REG,2023-10-02 00:00:00+00:00,Monday,20:15,SEA,,NYG,,Home,,,,2023100200,,,202310020nyg,,401547456,,8,11,,,,,,,,,0,outdoors,fieldturf,,,00-0030565,00-0035710,Geno Smith,Daniel Jones,Pete Carroll,Brian Daboll,,NYC01,MetLife Stadium,,10.47539242720898,5.497724092969317,5.708632610152765,8.444451172226106,7.5,4.2,10.8
6,6,00-0034869,S.Darnold,Sam Darnold,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/whfsdoeusfuts9t4m6ex",SF,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-1.0,0,0.0,0.0,0.0,-1.5714952,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.1,-0.1,NYG,Thursday,1,SF2023,S.Darnold2023,NYG2023,2.0,4.5,33.0,0.5,0.5,0.5,4.0,0.25,3.0,3.0,24.0,0.25,12.0,0.25,0.25,0.25,0.11,0.78,1.66,5.4,2.83,6.36,46.67,1.0,0.71,0.71,5.66,0.5,1.41,1.41,12.02,0.5,4.95,0.5,0.5,0.5,0.37,1.64,0.95,2.62,2.0,2.0,6.0,1.0,1.0,2.0,-2.0,1.0,3.0,3.0,30.0,1.0,17.0,1.0,1.0,1.0,-0.5446569,0.5369342,1.7199669,-0.2,ARI,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.79,,-0.15,9.0,13.5,106.5,0.5,0.25,2.25,5.5,0.25,0.25,0.25,-1.5,0.0,-1.5,0.25,0.25,0.0,4.89,0.9,-1.45,7.81,0,SAN FRANCISCO 49ERS,6482,2023_04_ARI_SF,REG,2023-10-01 00:00:00+00:00,Sunday,16:25,ARI,,SF,,Home,,,,2023100112,,,202310010sfo,,401547454,,7,10,,,,,,,,,1,outdoors,grass,,,00-0033949,00-0037834,Joshua Dobbs,Brock Purdy,Jonathan Gannon,Kyle Shanahan,,SFO01,Levi's Stadium,,0.1013447813768181,-0.2449132163500817,0.5528537124679841,0.1970560799158626,0.2,0.0,3.5
7,7,00-0035535,D.Slayton,Darius Slayton,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emmy86blz71njkcr496b",NYG,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,6,32.0,0,0.0,0.0,72.0,3.0,2.0,0.9573617,0,0.44444445,0.1875,0.3546798,0.5295259,0.0,3.2,6.2,SF,Thursday,1,NYG2023,D.Slayton2023,SF2023,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,1.0,1.75,16.0,0.25,23.5,0.25,0.5,0.25,0.11,-0.31,0.93,4.1,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.71,0.82,0.96,16.43,0.5,16.82,0.5,0.71,0.5,0.37,0.06,1.82,4.75,2.0,2.0,6.0,1.0,1.0,2.0,-2.0,1.0,3.0,6.0,62.0,1.0,132.0,1.0,1.0,1.0,-0.5446569,0.5369342,0.97395235,9.2,SEA,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,3.0,6.0,47.0,0.5,102.0,0.0,0.0,0.5,,-0.34,0.97,7.7,0.25,0.25,4.75,0.25,0.0,0.25,0.75,0.25,3.25,4.75,45.5,0.25,50.5,0.0,0.0,0.25,-0.49,-0.34,2.33,9.3,0,NEY YORK GIANTS,6484,2023_04_SEA_NYG,REG,2023-10-02 00:00:00+00:00,Monday,20:15,SEA,,NYG,,Home,,,,2023100200,,,202310020nyg,,401547456,,8,11,,,,,,,,,0,outdoors,fieldturf,,,00-0030565,00-0035710,Geno Smith,Daniel Jones,Pete Carroll,Brian Daboll,,NYC01,MetLife Stadium,,6.3877177203830335,8.320095611213404,8.710714405652142,7.142055090206323,7.6,4.3,10.9
8,8,00-0035639,P.Campbell,Parris Campbell,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/plnptpz1flhijayvb0qv",NYG,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,6,24.0,0,0.0,0.0,19.0,5.0,0.0,-1.6436528,0,1.2631578,0.1875,0.093596056,0.34676725,0.0,2.4,8.4,SF,Thursday,1,NYG2023,P.Campbell2023,SF2023,2.0,4.5,33.0,0.5,0.5,1.0,3.0,1.0,2.25,3.5,31.5,0.5,31.75,0.25,0.5,0.25,0.11,-0.31,-0.58,5.4,2.83,6.36,46.67,1.0,0.71,0.71,2.12,0.71,0.96,1.73,10.34,0.71,36.21,0.5,0.71,0.5,0.37,0.06,2.95,1.27,2.0,2.0,6.0,1.0,1.0,2.0,-2.0,1.0,4.0,6.0,21.0,1.0,22.0,1.0,1.0,1.0,-0.5446569,0.5369342,-1.5451645,6.1,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,22.5,0.0,20.5,0.0,0.0,0.0,,,-1.59,7.25,0.25,0.25,4.75,0.25,0.0,0.25,0.75,0.25,3.75,4.75,46.25,0.25,49.75,0.0,0.0,0.25,-0.49,-0.34,2.3,9.87,0,NEY YORK GIANTS,6484,2023_04_SEA_NYG,REG,2023-10-02 00:00:00+00:00,Monday,20:15,SEA,,NYG,,Home,,,,2023100200,,,202310020nyg,,401547456,,8,11,,,,,,,,,0,outdoors,fieldturf,,,00-0030565,00-0035710,Geno Smith,Daniel Jones,Pete Carroll,Brian Daboll,,NYC01,MetLife Stadium,,9.03356331367486,7.589096691391013,6.210689835242472,8.578364510701372,7.9,4.6,11.2
9,9,00-0035710,D.Jones,Daniel Jones,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zrhniboizqpxtdyz6gez",NYG,2023,4,REG,22,32,137.0,0,1.0,2.0,16.0,0,0,190.0,59.0,6.0,-8.183832,0,0.72105265,0.028023133,2,5.0,0,0.0,0.0,1.0,0.18144016,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,3.98,3.98,SF,Thursday,1,NYG2023,D.Jones2023,SF2023,2.0,4.5,33.0,0.5,0.5,0.5,1.5,0.25,4.25,5.25,50.5,0.25,33.0,0.25,0.5,0.25,0.11,-0.37,1.81,11.45,2.83,6.36,46.67,1.0,0.71,0.58,3.0,0.5,1.26,0.5,14.01,0.5,10.36,0.5,0.71,0.5,0.37,0.11,2.02,5.06,26.0,37.0,321.0,2.0,1.0,9.0,59.0,1.0,4.0,6.0,21.0,1.0,22.0,1.0,1.0,1.0,8.180348,7.5556,-1.5451645,30.74,SEA,24.0,34.5,229.0,1.0,1.0,5.5,32.0,0.5,0.5,0.5,8.0,0.0,6.5,0.5,0.5,0.0,-7.26,3.87,0.98,17.36,15.75,24.5,140.5,0.5,1.0,6.25,27.25,0.25,0.25,0.25,4.0,0.0,3.25,0.25,0.25,0.0,-5.84,1.17,0.98,9.84,0,NEY YORK GIANTS,6484,2023_04_SEA_NYG,REG,2023-10-02 00:00:00+00:00,Monday,20:15,SEA,,NYG,,Home,,,,2023100200,,,202310020nyg,,401547456,,8,11,,,,,,,,,0,outdoors,fieldturf,,,00-0030565,00-0035710,Geno Smith,Daniel Jones,Pete Carroll,Brian Daboll,,NYC01,MetLife Stadium,,7.392914637147566,18.768528394961606,17.187139744700115,7.156624024639897,12.6,9.3,15.9
