,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,opp,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,hist_gb_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,13,REG,25,33,229.0,4,1.0,0.0,-0.0,0,0,192.0,129.0,16.0,13.204231,0,1.1927084,0.24892777,1,2.0,0,0.0,0.0,0.0,-0.51743484,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.36,23.36,ARI,Sunday,1,LA2023,M.Stafford2023,ARI2023,17.0,0.33,201.0,0.33,0.33,1.0,9.0,0.25,2.0,3.0,11.0,1.0,21.0,1.0,0.25,0.33,-3.84,1.18,-1.56,3.1,1.41,0.58,69.3,0.58,0.58,1.41,9.9,0.5,0.71,1.41,8.49,0.71,16.26,0.71,0.5,0.58,21.66,0.08,0.2,1.56,CLE,21.0,32.0,209.5,2.5,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,-0.56,-1.52,16.53,15.0,25.5,147.75,1.25,0.75,1.5,5.5,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,-2.77,0.07,-1.52,9.96,0,LOS ANGELES RAMS,6610.0,2023_13_CLE_LA,REG,2023-12-03 00:00:00+00:00,Sunday,16:25,CLE,,LA,,Home,,,,2023120308.0,,,202312030ram,,401547575.0,,7.0,7.0,,,,,,,,,0.0,dome,matrixturf,,,,,,,Kevin Stefanski,Sean McVay,,LAX01,SoFi Stadium,,16.45583348850918,14.326621580777058,18.416817953347834,15.861997464399103,16.3,12.3,20.3
1,00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zr7o7ow6cdb3ata0errd",PHI,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,0.0,0,0.0,0.0,9.0,3.0,0.0,-1.967411,0,0.0,0.10714286,0.04368932,0.19129682,0.0,0.0,1.0,BUF,Sunday,1,PHI2023,J.Jones2023,BUF2023,17.0,0.33,201.0,0.33,0.33,3.0,20.0,0.25,2.0,0.5,18.0,1.0,-1.5,1.0,0.25,0.33,-3.84,0.08,-0.89,2.0,1.41,0.58,69.3,0.58,0.58,1.41,9.9,0.5,0.71,0.71,1.41,0.71,2.12,0.71,0.5,0.58,21.66,0.08,5.16,0.99,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,2.5,0.0,2.5,0.0,0.0,0.0,,,-1.2,1.75,0.25,0.25,0.5,0.0,0.0,0.5,1.0,0.25,2.0,4.0,26.75,0.25,41.0,0.0,0.0,0.25,-0.55,-0.96,0.11,4.67,0,PHILADELPHIA EAGLES,6611.0,2023_13_SF_PHI,REG,2023-12-03 00:00:00+00:00,Sunday,16:25,SF,,PHI,,Home,,,,2023120309.0,,,202312030phi,,401547276.0,,10.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Kyle Shanahan,Nick Sirianni,,PHI00,Lincoln Financial Field,,1.7120052899877165,6.816301205313827,2.004829762672025,1.6773736723276749,3.1,0.0,7.1
2,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,13,REG,13,22,134.0,1,0.0,1.0,9.0,0,0,122.0,67.0,5.0,4.4542413,0,1.0983607,0.09463155,11,34.0,1,2.0,1.0,3.0,-1.6411927,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.76,16.76,CLE,Sunday,0,DEN2023,R.Wilson2023,CLE2023,17.0,0.33,201.0,0.33,0.33,0.25,4.5,0.25,3.0,6.0,83.5,1.0,96.5,1.0,0.25,0.33,-3.84,2.52,4.31,17.35,1.41,0.58,69.3,0.58,0.58,0.5,9.0,0.5,1.41,1.41,34.65,0.58,16.26,0.71,0.5,0.58,21.66,0.01,4.62,4.88,HOU,20.0,28.5,196.5,1.0,0.0,6.5,17.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.97,-1.85,-0.38,15.61,19.0,26.25,175.0,1.75,0.5,7.5,23.75,0.25,0.25,0.25,0.25,0.0,-0.25,0.25,0.25,0.0,1.71,-0.13,-0.38,16.87,0,DENVER BRONCOS,6609.0,2023_13_DEN_HOU,REG,2023-12-03 00:00:00+00:00,,16:05,DEN,,HOU,,Home,,,,2023120307.0,,,202312030htx,,401547571.0,,7.0,7.0,,,,,,,,,0.0,,astroturf,,,,,,,Sean Payton,DeMeco Ryans,,HOU00,NRG Stadium,Sunday,15.85190172335671,13.525290393817102,19.27622567756408,14.869965448468363,15.9,11.9,19.9
3,00-0029892,K.Juszczyk,Kyle Juszczyk,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqb3lq4bip6oa5kiz1ze",SF,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,3.0,0.0,0.0,-0.90573204,0,0.0,0.033333335,0.01119403,0.05783582,0.0,0.0,0.0,SEA,Thursday,0,SF2023,K.Juszczyk2023,SEA2023,17.0,0.33,201.0,0.33,0.33,4.0,5.0,0.25,2.25,5.0,27.75,0.25,51.5,1.0,0.25,0.25,-3.84,-3.3,-1.54,5.02,1.41,0.58,69.3,0.58,0.58,5.66,7.07,0.5,2.06,3.74,29.78,0.5,38.03,0.71,0.5,0.5,21.66,0.01,0.69,5.01,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.5,15.5,0.0,0.0,0.0,,-1.61,0.62,5.3,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,0.75,1.25,8.75,0.25,9.75,0.0,0.25,0.25,,-1.61,0.59,3.13,0,SAN FRANCISCO 49ERS,6611.0,2023_13_SF_PHI,REG,2023-12-03 00:00:00+00:00,,16:25,SF,,PHI,,Home,,,,2023120309.0,,,202312030phi,,401547276.0,,10.0,7.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Kyle Shanahan,Nick Sirianni,,PHI00,Lincoln Financial Field,Sunday,4.604219583255128,7.414438788191207,4.719215252608883,5.520713712754291,5.6,1.6,9.6
4,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,2.0,0,0.0,0.0,30.0,0.0,0.0,-1.7942895,0,0.06666667,0.125,0.18987341,0.32041138,0.0,0.2,1.2,TEN,Sunday,0,CAR2023,A.Thielen2023,TEN2023,17.0,0.33,201.0,0.33,0.33,4.0,5.0,0.25,4.25,6.5,48.75,0.25,54.0,1.0,0.25,0.25,-3.84,-3.3,1.43,10.62,1.41,0.58,69.3,0.58,0.58,5.66,7.07,0.5,0.96,2.89,13.07,0.5,36.04,0.71,0.5,0.5,21.66,0.01,1.22,3.97,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.0,38.0,0.0,61.0,0.0,0.0,0.0,,0.24,4.12,8.3,0.0,0.25,0.0,0.0,0.0,0.25,0.5,0.25,3.0,5.5,22.75,0.25,47.75,0.0,0.25,0.25,-1.32,-0.41,-1.29,5.27,0,CAROLINA PANTHERS,6606.0,2023_13_CAR_TB,REG,2023-12-03 00:00:00+00:00,,13:00,CAR,,TB,,Home,,,,2023120304.0,,,202312030tam,,401547569.0,,7.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Frank Reich,Todd Bowles,,TAM00,Raymond James Stadium,Sunday,7.6546817093560415,7.971322492293276,11.79317194504051,8.633016099164346,9.0,5.0,13.0
5,00-0030279,K.Allen,Keenan Allen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xs7h2igf85nta81v7zb8",LAC,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,14,16,106.0,0,1.0,1.0,105.0,34.0,4.0,-0.37655282,0,1.0095239,0.3902439,0.4183267,0.8781945,0.0,8.6,22.6,BAL,Sunday,0,LAC2023,K.Allen2023,BAL2023,17.0,0.33,201.0,0.33,0.33,6.5,22.0,0.25,0.25,0.75,0.25,0.25,-2.25,1.0,1.0,0.25,-3.84,-0.84,-0.97,3.98,1.41,0.58,69.3,0.58,0.58,3.42,17.03,0.5,0.5,0.5,0.5,0.5,3.59,0.71,0.5,0.5,21.66,0.61,0.3,4.1,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,111.0,0.5,130.0,0.0,0.0,0.5,3.97,0.15,1.85,25.1,0.25,0.25,12.25,0.25,0.0,0.25,0.5,0.25,4.5,6.0,34.0,0.25,50.5,0.0,0.0,0.25,3.97,-0.63,-0.45,7.4,0,LOS ANGELES CHARGERS,6602.0,2023_13_LAC_NE,REG,2023-12-03 00:00:00+00:00,,13:00,LAC,,NE,,Home,,,,2023120300.0,,,202312030nwe,,401547567.0,,7.0,7.0,,,,,,,,,0.0,outdoors,fieldturf,,,,,,,Brandon Staley,Bill Belichick,,BOS00,Gillette Stadium,Sunday,21.24341554238784,12.002914899244221,22.871450244963043,22.964604326862094,19.8,15.8,23.8
6,00-0030431,R.Woods,Robert Woods,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksw0cui3nmzzaxwnkstl",HOU,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,40.0,0,0.0,0.0,48.0,2.0,2.0,2.578618,0,0.8333333,0.083333336,0.13913043,0.2223913,0.0,4.0,6.0,JAX,Sunday,1,HOU2023,R.Woods2023,JAX2023,17.0,0.33,201.0,0.33,0.33,8.75,35.5,0.25,1.0,1.5,8.75,1.0,1.5,1.0,1.0,0.25,-3.84,-0.28,-1.63,6.93,1.41,0.58,69.3,0.58,0.58,5.91,33.41,0.5,1.15,1.73,11.81,0.71,2.38,0.71,0.5,0.5,21.66,2.95,2.23,5.96,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.5,42.0,0.0,64.0,0.0,0.0,0.0,,,-1.08,7.7,0.25,0.25,1.5,0.25,0.25,0.25,3.25,0.25,4.5,6.25,66.5,0.25,75.5,0.0,0.0,0.25,-0.78,0.88,2.77,12.65,0,HOUSTON TEXANS,6609.0,2023_13_DEN_HOU,REG,2023-12-03 00:00:00+00:00,Sunday,16:05,DEN,,HOU,,Home,,,,2023120307.0,,,202312030htx,,401547571.0,,7.0,7.0,,,,,,,,,0.0,,astroturf,,,,,,,Sean Payton,DeMeco Ryans,,HOU00,NRG Stadium,,8.433129854816446,7.885178530740488,7.3940402458618895,7.9638006558650885,7.9,3.9,11.9
7,00-0030506,T.Kelce,Travis Kelce,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryzr3vbragwe50vtj9af",KC,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,7,91.0,0,0.0,0.0,80.0,27.0,5.0,5.3230596,0,1.1375,0.21875,0.53691274,0.70396394,0.0,9.1,15.1,LV,Sunday,0,KC2023,T.Kelce2023,LV2023,17.0,0.33,201.0,0.33,0.33,6.5,23.5,0.25,2.5,3.0,12.0,1.0,-5.75,1.0,1.0,0.25,-3.84,0.53,-0.44,6.05,1.41,0.58,69.3,0.58,0.58,6.14,17.86,0.5,1.73,1.41,15.58,0.71,9.98,0.71,0.5,0.5,21.66,1.41,1.09,3.31,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,8.0,67.5,0.5,68.5,0.0,0.0,0.5,0.7,0.15,2.07,15.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,4.0,5.0,42.25,0.25,43.25,0.0,0.0,0.25,0.7,-2.76,1.33,9.23,0,KANSAS CITY CHIEFS,6612.0,2023_13_KC_GB,REG,2023-12-03 00:00:00+00:00,,20:20,KC,,GB,,Home,,,,2023120310.0,,,202312030gnb,,401547576.0,,7.0,10.0,,,,,,,,,0.0,outdoors,grass,,,,,,,Andy Reid,Matt LaFleur,,GNB00,Lambeau Field,Sunday,14.540272355866104,9.449794488472216,11.868963885088373,15.131747673579437,12.7,8.7,16.7
8,00-0030513,L.Murray,Latavius Murray,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",BUF,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,9,30.0,0,0.0,0.0,2.0,-2.574529,0,3,5,18.0,0,0.0,0.0,10.0,9.0,1.0,0.81773853,0,1.8,0.10204082,0.023980815,0.1698478,0.0,4.8,7.8,PHI,Sunday,0,BUF2023,L.Murray2023,PHI2023,17.0,0.33,201.0,0.33,0.33,19.0,104.0,1.0,2.5,4.25,15.75,0.5,25.75,1.0,1.0,0.25,-3.84,1.17,-0.83,7.08,1.41,0.58,69.3,0.58,0.58,1.41,43.84,0.71,1.29,1.89,10.18,0.58,14.48,0.71,0.5,0.5,21.66,5.23,3.1,5.67,,0.0,0.0,0.0,0.0,0.0,9.5,32.5,0.0,1.5,2.5,9.0,0.0,5.0,0.0,0.0,0.0,,-2.41,0.82,5.65,0.0,0.25,0.0,0.0,0.0,9.75,37.25,0.25,2.25,3.0,23.5,0.5,4.25,0.0,0.25,0.25,-0.15,-1.97,3.1,11.33,0,BUFFALO BILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05894920367702,7.480030828930693,5.84134379738631,5.520713712754291,6.2,2.2,10.2
9,00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kikfprn4t5ap1lju4a4k",TEN,2023,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,49.0,0,0.0,0.0,68.0,11.0,2.0,1.1256839,0,0.7205882,0.18518518,0.29310346,0.48295018,0.0,4.9,7.9,CAR,Sunday,1,TEN2023,D.Hopkins2023,CAR2023,17.0,0.33,201.0,0.33,0.33,19.0,104.0,1.0,2.0,2.75,24.0,0.5,20.75,1.0,1.0,0.25,-3.84,1.17,1.39,4.4,1.41,0.58,69.3,0.58,0.58,1.41,43.84,0.71,1.41,1.71,15.64,0.71,17.75,0.71,0.5,0.5,21.66,5.23,1.2,2.94,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,54.0,0.5,65.5,0.0,0.0,0.0,,0.02,2.28,11.9,0.25,0.25,5.25,0.0,0.0,0.25,9.5,0.25,1.5,2.0,28.75,0.25,29.5,0.0,0.0,0.25,-0.74,2.74,1.7,5.32,0,TENNESSEE TITANS,6607.0,2023_13_IND_TEN,REG,2023-12-03 00:00:00+00:00,Sunday,13:00,IND,,TEN,,Home,,,,2023120305.0,,,202312030oti,,401547570.0,,7.0,7.0,,,,,,,,,1.0,outdoors,grass,,,,,,,Shane Steichen,Mike Vrabel,,NAS00,Nissan Stadium,,10.994583236545106,8.706437930290726,11.79317194504051,11.678879524423603,10.8,6.8,14.8
