,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,game_id,game_type,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,player_is_home,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,opp,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,completions_avg_opp_position,attempts_avg_opp_position,passing_yards_avg_opp_position,passing_tds_avg_opp_position,interceptions_avg_opp_position,carries_avg_opp_position,rushing_yards_avg_opp_position,rushing_tds_avg_opp_position,receptions_avg_opp_position,targets_avg_opp_position,receiving_yards_avg_opp_position,receiving_tds_avg_opp_position,receiving_air_yards_avg_opp_position,sack_fumbles_lost_avg_opp_position,rushing_fumbles_lost_avg_opp_position,receiving_fumbles_lost_avg_opp_position,passing_epa_avg_opp_position,rushing_epa_avg_opp_position,receiving_epa_avg_opp_position,fantasy_points_ppr_avg_opp_position,is_favorite,team_full_name
37909,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e",NYJ,2023,1,REG,0,1,0.0,0,0.0,1.0,10.0,0,0,17.0,0.0,0.0,-2.0319598,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.0,0.0,BUF,2023_01_BUF_NYJ,REG,2023-09-11,Monday,20:15,BUF,16.0,NYJ,22.0,Home,6.0,38.0,1.0,2023091100.0,,,202309110nyj,,401547352.0,,7.0,7.0,-135.0,114.0,-2.5,52.38,52.38,44.5,52.38,52.38,1.0,outdoors,,,,00-0034857,00-0023459,Josh Allen,Aaron Rodgers,Sean McDermott,Robert Saleh,Carl Cheffers,NYC01,MetLife Stadium,1,NYJ2023,A.Rodgers2023,BUF2023,17.0,0.33,201.0,0.33,0.33,7.5,37.75,0.5,1.0,1.25,8.25,0.25,-1.0,1.0,1.0,0.25,-3.84,0.61,1.93,10.1,1.41,0.58,69.3,0.58,0.58,1.91,26.04,1.0,1.15,1.5,11.79,0.5,2.0,0.71,0.5,0.5,21.66,4.42,2.94,5.39,NYJ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.03,,,0.0,12.5,24.5,120.25,0.5,0.75,0.25,0.25,0.25,0.25,0.25,-4.0,0.25,-1.0,0.25,0.25,0.0,-7.21,-0.42,-2.01,2.69,0,NEW YORK JETS
37910,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,4,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,8.0,0,0.0,0.0,-3.0,11.0,0.0,0.48346484,0,0.0,0.03125,-0.012396694,0.038197313,0.0,0.8,1.8,DEN,2023_04_DEN_CHI,REG,2023-10-01,Sunday,13:00,DEN,31.0,CHI,28.0,Home,-3.0,59.0,0.0,2023100103.0,,,202310010chi,,401547444.0,,7.0,7.0,-162.0,136.0,-3.0,52.83,51.92,47.0,52.38,52.38,0.0,outdoors,grass,80.0,2.0,00-0029263,00-0036945,Russell Wilson,Justin Fields,Sean Payton,Matt Eberflus,Carl Cheffers,CHI98,Soldier Field,1,CHI2023,M.Lewis2023,DEN2023,17.0,0.33,201.0,0.33,0.33,8.75,35.75,0.5,1.0,1.25,8.25,0.25,-1.0,1.0,1.0,0.25,-3.84,-0.57,1.93,9.9,1.41,0.58,69.3,0.58,0.58,3.86,24.1,1.0,1.15,1.5,11.79,0.5,2.0,0.71,0.5,0.5,21.66,4.25,2.94,5.61,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,-3.0,0.0,0.0,0.0,,,0.48,1.8,0.0,0.0,0.0,0.0,0.0,0.25,2.25,0.0,1.75,2.75,17.0,0.25,20.75,0.0,0.0,0.25,,-1.78,0.95,3.45,0,CHICAGO BEARS
37911,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,7,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,16.0,0,0.0,0.0,5.0,11.0,1.0,1.4372238,0,3.2,0.03448276,0.094339624,0.11776187,0.0,1.6,2.6,LV,2023_07_LV_CHI,REG,2023-10-22,Sunday,13:00,LV,12.0,CHI,30.0,Home,18.0,42.0,0.0,2023102201.0,,,202310220chi,,401547490.0,,7.0,7.0,-142.0,120.0,-2.5,52.38,52.38,38.5,52.38,52.38,0.0,outdoors,grass,52.0,8.0,00-0026625,00-0038416,Brian Hoyer,Tyson Bagent,Josh McDaniels,Matt Eberflus,Clay Martin,CHI98,Soldier Field,1,CHI2023,M.Lewis2023,LV2023,17.0,0.33,201.0,0.33,0.33,5.0,10.0,0.33,1.5,1.0,1.0,0.25,-8.0,1.0,1.0,0.25,-3.84,-2.03,-0.81,1.0,1.41,0.58,69.3,0.58,0.58,4.24,22.63,0.58,2.12,1.41,1.41,0.5,2.83,0.71,0.5,0.5,21.66,0.97,0.28,4.53,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,,,0.96,2.2,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,2.25,2.5,19.5,0.25,10.25,0.0,0.0,0.25,,1.92,1.02,5.7,0,CHICAGO BEARS
37912,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,11,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,9.0,0.0,0.0,-0.54736674,0,0.0,0.045454547,0.036885247,0.09400149,0.0,0.0,0.0,DET,2023_11_CHI_DET,REG,2023-11-19,Sunday,13:00,CHI,26.0,DET,31.0,Home,5.0,57.0,0.0,2023111902.0,,,202311190det,,401547546.0,,10.0,7.0,340.0,-440.0,8.0,52.38,52.38,48.0,52.38,52.38,1.0,dome,fieldturf,,,00-0036945,00-0033106,Justin Fields,Jared Goff,Matt Eberflus,Dan Campbell,Scott Novak,DET00,Ford Field,0,CHI2023,M.Lewis2023,DET2023,17.0,0.33,201.0,0.33,0.33,8.0,26.0,0.33,1.5,2.0,1.0,0.25,-10.0,1.0,1.0,0.25,-3.84,-2.71,-1.01,4.2,1.41,0.58,69.3,0.58,0.58,4.24,22.63,0.58,2.12,1.41,1.41,0.5,2.83,0.71,0.5,0.5,21.66,0.97,0.28,4.53,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,8.0,0.0,7.0,0.0,0.0,0.0,,,0.44,1.3,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,3.0,4.25,27.75,0.5,21.5,0.0,0.0,0.25,,0.66,0.94,8.8,0,CHICAGO BEARS
37913,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,1,REG,24,38,334.0,0,0.0,0.0,-0.0,0,0,409.0,106.0,17.0,20.679981,0,0.8166259,0.21719006,3,11.0,0,0.0,0.0,1.0,0.8680859,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.46,14.46,SEA,2023_01_LA_SEA,REG,2023-09-10,Sunday,16:25,LA,30.0,SEA,13.0,Home,-17.0,43.0,0.0,2023091012.0,,,202309100sea,,401547408.0,,7.0,7.0,180.0,-218.0,4.5,52.38,52.38,45.0,52.38,52.38,1.0,outdoors,,,,00-0026498,00-0030565,Matthew Stafford,Geno Smith,Sean McVay,Pete Carroll,Shawn Smith,SEA00,Lumen Field,0,LA2023,M.Stafford2023,SEA2023,17.0,0.33,201.0,0.33,0.33,6.0,16.33,0.33,1.0,1.33,0.67,0.25,-6.67,1.0,1.0,0.25,-3.84,-2.46,-1.01,2.7,1.41,0.58,69.3,0.58,0.58,4.58,23.16,0.58,1.73,1.53,1.15,0.5,6.11,0.71,0.5,0.5,21.66,0.82,0.28,4.12,LA,17.5,28.0,246.5,1.0,0.0,2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61,0.12,-1.52,14.61,12.0,20.75,153.25,0.5,0.25,3.0,8.25,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,-0.79,0.63,-1.52,5.95,0,LOS ANGELES RAMS
37914,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,2,REG,34,55,307.0,1,2.0,1.0,10.0,0,0,363.0,144.0,17.0,-5.089193,0,0.84573,-0.029704621,4,17.0,0,0.0,0.0,1.0,-0.43832973,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.98,13.98,SF,2023_02_SF_LA,REG,2023-09-17,Sunday,16:05,SF,30.0,LA,23.0,Home,-7.0,53.0,0.0,2023091709.0,,,202309170ram,,401547422.0,,7.0,7.0,-340.0,270.0,-7.5,51.22,53.49,45.0,52.38,52.38,1.0,dome,,,,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,Brad Allen,LAX01,SoFi Stadium,1,LA2023,M.Stafford2023,SF2023,17.0,0.33,201.0,0.33,0.33,4.75,12.0,0.33,0.75,1.0,0.5,0.25,-5.0,1.0,1.0,0.25,-3.84,-2.03,-1.01,2.0,1.41,0.58,69.3,0.58,0.58,4.5,20.8,0.58,1.5,1.41,1.0,0.5,6.0,0.71,0.5,0.5,21.66,1.08,0.28,3.65,LA,29.0,46.5,320.5,0.5,1.0,3.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.21,-1.52,14.22,20.5,34.5,230.0,0.25,0.75,3.75,13.0,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,-1.86,0.52,-1.52,9.5,0,LOS ANGELES RAMS
37915,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,3,REG,18,33,269.0,1,2.0,6.0,48.0,0,0,317.0,99.0,12.0,-8.40479,0,0.8485804,-0.010766178,1,7.0,0,0.0,0.0,1.0,2.5295763,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.46,11.46,CIN,2023_03_LA_CIN,REG,2023-09-25,Monday,20:15,LA,16.0,CIN,19.0,Home,3.0,35.0,0.0,2023092501.0,,,202309250cin,,401547441.0,,8.0,8.0,136.0,-162.0,3.0,50.0,54.55,45.5,51.92,52.83,0.0,outdoors,fieldturf,74.0,7.0,00-0026498,00-0036442,Matthew Stafford,Joe Burrow,Sean McVay,Zac Taylor,John Hussey,CIN00,Paycor Stadium,0,LA2023,M.Stafford2023,CIN2023,17.0,0.33,201.0,0.33,0.33,4.25,10.0,0.33,0.75,1.0,0.5,0.25,-3.5,1.0,1.0,0.25,-3.84,-1.76,-3.56,1.8,1.41,0.58,69.3,0.58,0.58,4.57,21.43,0.58,1.5,1.41,1.0,0.5,5.74,0.71,0.5,0.5,21.66,1.21,3.32,3.74,LA,26.0,44.0,288.0,1.0,2.0,2.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.75,1.05,-1.52,12.72,22.25,38.0,264.25,0.5,1.25,3.25,12.75,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,-1.07,0.82,-1.52,11.34,0,LOS ANGELES RAMS
37916,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,4,REG,27,40,319.0,1,1.0,2.0,16.0,0,0,297.0,114.0,16.0,11.3743515,0,1.074074,0.17090178,2,14.0,0,0.0,0.0,0.0,3.265997,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.16,16.16,IND,2023_04_LA_IND,REG,2023-10-01,Sunday,13:00,LA,29.0,IND,23.0,Home,-6.0,52.0,1.0,2023100106.0,,,202310010clt,,401547449.0,,6.0,7.0,-115.0,-105.0,-1.0,52.38,52.38,44.5,52.38,52.38,0.0,open,fieldturf,,,00-0026498,00-0039164,Matthew Stafford,Anthony Richardson,Sean McVay,Shane Steichen,Land Clark,IND00,Lucas Oil Stadium,0,LA2023,M.Stafford2023,IND2023,17.0,0.33,201.0,0.33,0.33,3.5,5.25,0.33,1.0,0.25,6.0,0.25,-0.5,1.0,1.0,0.25,-3.84,-1.41,-5.9,0.52,1.41,0.58,69.3,0.58,0.58,3.11,12.01,0.58,0.71,0.5,4.24,0.5,1.0,0.71,0.5,0.5,21.66,0.66,0.62,1.2,LA,22.5,36.5,294.0,1.0,1.5,1.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,2.9,-1.52,13.81,25.75,41.5,307.25,0.75,1.25,2.5,12.25,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,4.64,1.56,-1.52,14.01,1,LOS ANGELES RAMS
37917,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,5,REG,21,37,222.0,2,0.0,4.0,27.0,0,0,366.0,90.0,13.0,-2.536261,0,0.60655737,-0.014530161,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.88,16.88,PHI,2023_05_PHI_LA,REG,2023-10-08,Sunday,16:05,PHI,23.0,LA,14.0,Home,-9.0,37.0,0.0,2023100808.0,,,202310080ram,,401547467.0,,7.0,7.0,-192.0,160.0,-3.5,52.38,52.38,50.5,52.38,52.38,0.0,dome,matrixturf,,,00-0036389,00-0026498,Jalen Hurts,Matthew Stafford,Nick Sirianni,Sean McVay,Bill Vinovich,LAX01,SoFi Stadium,1,LA2023,M.Stafford2023,PHI2023,17.0,0.33,201.0,0.33,0.33,4.0,12.0,0.33,1.0,0.25,6.0,0.25,-0.5,1.0,1.0,0.25,-3.84,-0.84,-5.9,1.2,1.41,0.58,69.3,0.58,0.58,2.94,13.34,0.58,0.71,0.5,4.24,0.5,1.0,0.71,0.5,0.5,21.66,0.96,0.62,1.33,LA,24.0,38.5,270.5,1.5,0.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,3.27,-1.52,16.52,25.0,41.25,279.25,1.25,1.25,1.75,9.5,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,-1.16,1.79,-1.52,14.62,0,LOS ANGELES RAMS
37918,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,6,REG,15,24,226.0,1,0.0,3.0,23.0,0,0,191.0,84.0,7.0,3.2710502,0,1.183246,0.106581196,1,2.0,0,0.0,0.0,0.0,-0.45945233,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.24,13.24,ARI,2023_06_ARI_LA,REG,2023-10-15,Sunday,16:25,ARI,9.0,LA,26.0,Home,17.0,35.0,0.0,2023101510.0,,,202310150ram,,401547479.0,,7.0,7.0,270.0,-340.0,7.0,51.22,53.49,48.0,52.38,52.38,1.0,dome,matrixturf,,,00-0033949,00-0026498,Joshua Dobbs,Matthew Stafford,Jonathan Gannon,Sean McVay,Ron Torbert,LAX01,SoFi Stadium,1,LA2023,M.Stafford2023,ARI2023,17.0,0.33,201.0,0.33,0.33,0.5,2.0,0.33,1.0,1.0,6.0,0.25,1.0,1.0,1.0,0.25,-3.84,0.15,-0.14,1.6,1.41,0.58,69.3,0.58,0.58,0.71,2.83,0.58,0.71,0.71,4.24,0.5,0.71,0.71,0.5,0.5,21.66,1.55,0.62,0.85,LA,18.0,30.5,224.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,-0.46,-1.52,15.06,20.25,33.5,259.0,1.25,0.75,1.0,5.75,0.25,0.0,0.25,0.0,0.0,1.25,0.25,0.25,0.0,0.93,1.78,-1.52,14.43,1,LOS ANGELES RAMS
